url,tweet_ids,author_ids,author_usernames,created_ats,url_title,tweet_count
https://twitter.com/tier10k/status/1516463872114368512,[1516464329230495748],[44322763],['matthuang'],['2022-04-19T17:10:45+00:00'],,1
https://twitter.com/twobitidiot/status/1516715691344379904/photo/1,[1516715691344379904],[2193616844],['twobitidiot'],['2022-04-20T09:49:34+00:00'],,1
https://twitter.com/tree_of_alpha/status/1515967463892168705,[1515976833614979078],[5686612],['mayazi'],['2022-04-18T08:53:37+00:00'],,1
https://twitter.com/tomwilson1983/status/1517460925439254533,[1517589778950242304],[14710235],['NeerajKA'],['2022-04-22T19:42:53+00:00'],,1
https://twitter.com/twobitidiot/status/1516922298372079617/photo/1,[1516922298372079617],[2193616844],['twobitidiot'],['2022-04-20T23:30:33+00:00'],,1
https://twitter.com/spencernoon/status/1516916143088451586/photo/1,[1516916143088451586],[1527806202],['spencernoon'],['2022-04-20T23:06:06+00:00'],,1
https://twitter.com/tokenterminal/status/1516663458221150209,[1516666265016090626],[1978953986],['DegenSpartan'],['2022-04-20T06:33:10+00:00'],,1
https://twitter.com/twobitidiot/status/1517107507734491144,[1517108250143240197],[79714172],['zhusu'],['2022-04-21T11:49:27+00:00'],,1
https://twitter.com/timeswapintern/status/1516644988465352705,[1516645959127932932],[1978953986],['DegenSpartan'],['2022-04-20T05:12:29+00:00'],,1
https://twitter.com/tim_roughgarden/status/1517188185268400131,[1517290448124928005],[566534886],['hasufl'],['2022-04-21T23:53:27+00:00'],,1
https://twitter.com/twobitidiot/status/1517588750167310336,[1517590188809244673],[2193616844],['twobitidiot'],['2022-04-22T19:44:31+00:00'],,1
https://twitter.com/tzhen/status/1517539759362658305?s=20&t=5RHvlbanPRyyMjWIwtTxeA,[1517550458663022592],[804029200315334656],['gakonst'],['2022-04-22T17:06:38+00:00'],,1
https://twitter.com/zachxbt/status/1466222791540330500,[1515385768822333441],[3012852462],['zachxbt'],['2022-04-16T17:44:56+00:00'],,1
https://twitter.com/udiwertheimer/status/1516924937893822465,[1516931619520667649],[14710235],['NeerajKA'],['2022-04-21T00:07:35+00:00'],,1
https://twitter.com/v0rtexTurtle616/status/1516532269103546370,[1516796415573430277],[53836928],['tarunchitra'],['2022-04-20T15:10:20+00:00'],,1
https://twitter.com/valrich79/status/1517284029778726912,[1517284884880015368],[26377478],['laurashin'],['2022-04-21T23:31:21+00:00'],,1
https://twitter.com/whatbitcoindid/status/1517506222748061697,[1517575534145937408],[420308365],['nic__carter'],['2022-04-22T18:46:17+00:00'],,1
https://twitter.com/wongmjane/status/1517192005436456960,[1517194319798616064],[14710235],['NeerajKA'],['2022-04-21T17:31:28+00:00'],,1
https://twitter.com/wublockchain/status/1517124429737648129,[1517128907924795392],[313724502],['sassal0x'],['2022-04-21T13:11:33+00:00'],,1
https://twitter.com/tayvano_/status/1517614848942563328/photo/1,[1517614848942563328],[19748227],['tayvano_'],['2022-04-22T21:22:30+00:00'],,1
https://twitter.com/tayvano_/status/1516931160575668224/photo/1,[1516931160575668224],[19748227],['tayvano_'],['2022-04-21T00:05:46+00:00'],,1
https://twitter.com/tree_of_alpha/status/1516359125223018502,[1516373256726532106],[7184612],['mdudas'],['2022-04-19T11:08:51+00:00'],,1
https://twitter.com/zachxbt/status/1454199244860977152,[1516424553563578375],[3012852462],['zachxbt'],['2022-04-19T14:32:42+00:00'],,1
https://twitter.com/tomhschmidt/status/1516465340322045966,[1516486702277218306],[26377478],['laurashin'],['2022-04-19T18:39:39+00:00'],,1
http://SpeedRunEthereum.com,[1516489876832727045],[2024211],['austingriffith'],['2022-04-19T18:52:16+00:00'],Speed Run Ethereum,1
https://twitter.com/spencernoon/status/1516537235713269765/photo/1,[1516537235713269765],[1527806202],['spencernoon'],['2022-04-19T22:00:27+00:00'],,1
https://twitter.com/mayazi/status/1516742784316841989/photo/1,[1516742784316841989],[5686612],['mayazi'],['2022-04-20T11:37:14+00:00'],,1
https://twitter.com/mayazi/status/1515744502232801289/photo/1,[1515744502232801289],[5686612],['mayazi'],['2022-04-17T17:30:25+00:00'],,1
https://twitter.com/mayazi/status/1515773180681592836/photo/1,[1515773180681592836],[5686612],['mayazi'],['2022-04-17T19:24:22+00:00'],,1
https://twitter.com/mayazi/status/1515814190568648705,[1515822359541862404],[5686612],['mayazi'],['2022-04-17T22:39:47+00:00'],,1
https://twitter.com/mayazi/status/1516080855336337414/photo/1,[1516080855336337414],[5686612],['mayazi'],['2022-04-18T15:46:57+00:00'],,1
https://twitter.com/mayazi/status/1516130702353391618,[1516132301922578448],[5686612],['mayazi'],['2022-04-18T19:11:23+00:00'],,1
https://twitter.com/mayazi/status/1516399685019521024/photo/1,[1516399685019521024],[5686612],['mayazi'],['2022-04-19T12:53:52+00:00'],,1
https://twitter.com/mayazi/status/1516722960312193024/photo/1,[1516722960312193024],[5686612],['mayazi'],['2022-04-20T10:18:27+00:00'],,1
https://twitter.com/mayazi/status/1516742023025463303/photo/1,[1516742023025463303],[5686612],['mayazi'],['2022-04-20T11:34:12+00:00'],,1
https://twitter.com/mayazi/status/1516745533628502023/photo/1,[1516745533628502023],[5686612],['mayazi'],['2022-04-20T11:48:09+00:00'],,1
https://twitter.com/spencernoon/status/1516533206396411912/photo/1,[1516533206396411912],[1527806202],['spencernoon'],['2022-04-19T21:44:26+00:00'],,1
https://twitter.com/mayazi/status/1516745839137505285/photo/1,[1516745839137505285],[5686612],['mayazi'],['2022-04-20T11:49:22+00:00'],,1
https://twitter.com/mayazi/status/1517159334085414912/photo/1,[1517159334085414912],[5686612],['mayazi'],['2022-04-21T15:12:27+00:00'],,1
https://twitter.com/mayazi/status/1517161732933775363,[1517182511163580416],[53836928],['tarunchitra'],['2022-04-21T16:44:33+00:00'],,1
https://twitter.com/mdudas/status/1516377419103588356/photo/1,[1516377419103588356],[7184612],['mdudas'],['2022-04-19T11:25:24+00:00'],,1
https://twitter.com/mdudas/status/1516478525003296772/photo/1,[1516478525003296772],[7184612],['mdudas'],['2022-04-19T18:07:09+00:00'],,1
https://twitter.com/mdudas/status/1516480864120713216/photo/1,[1516480864120713216],[7184612],['mdudas'],['2022-04-19T18:16:27+00:00'],,1
https://twitter.com/mdudas/status/1516837311123795971/photo/1,[1516837311123795971],[7184612],['mdudas'],['2022-04-20T17:52:51+00:00'],,1
https://twitter.com/mdudas/status/1516839619165396993/photo/1,[1516839619165396993],[7184612],['mdudas'],['2022-04-20T18:02:01+00:00'],,1
https://twitter.com/mayazi/status/1515742365952192523,[1515814190568648705],[5686612],['mayazi'],['2022-04-17T22:07:20+00:00'],,1
https://twitter.com/mayazi/status/1515428781246365698/photo/1,[1515428781246365698],[5686612],['mayazi'],['2022-04-16T20:35:51+00:00'],,1
https://twitter.com/mayazi/status/1413610170215768068,[1515427826899603469],[5686612],['mayazi'],['2022-04-16T20:32:03+00:00'],,1
https://twitter.com/mayazi/status/1044236472247885824,[1516290879543201797],[5686612],['mayazi'],['2022-04-19T05:41:31+00:00'],,1
https://twitter.com/lawmaster/status/1517508551706648578/photo/1,[1517508551706648578],[16709601],['lawmaster'],['2022-04-22T14:20:07+00:00'],,1
https://twitter.com/lemiscate/status/1516419118051823622,[1516455145441271812],[952921795316912133],['StaniKulechov'],['2022-04-19T16:34:15+00:00'],,1
