id,username,score
1318987223232999424,ohhshiny,24.0
1335984626230321154,ohmzeus,24.0
1438586226341150721,OrangeDAOxyz,0.0
1422215848157143041,Own_fund,0.0
8705962,owocki,44.0
760853748,panekkkk,12.0
109404961,paoloardoino,44.0
1176313487984930816,PatrickAlphaC,12.0
821106997978394624,Paul_Burlage,0.0
619916463,PaulRBerg,0.0
18076012,paulsalis,0.0
823546213,pedrouid,0.0
342768965,perelmanor,0.0
1001171600,pet3rpan_,12.0
341746855,pete_rizzo_,44.0
6174752,petejkim,12.0
9853362,phil_h,0.0
531744461,phildaian,12.0
394510461,PhilJBonello,0.0
85709588,pierskicks,12.0
1304447544576167942,pplpleasr1,44.0
86221409,preston_vanloon,0.0
151936663,prestonjbyrne,44.0
191682356,pridesai,12.0
735426681968660481,protolambda,0.0
764196478151716864,pswgnr,0.0
1388487332093997057,punk6529,36.0
887851445982068737,pythianism,24.0
712457848874086400,QwQiao,24.0
7976822,RAC,44.0
101833150,rajgokal,44.0
2453385626,RaoulGMI,56.0
1316499802306293760,ratwell0x,12.0
268435708,rauljordaneth,0.0
3675893776,rcm____,0.0
1257128739886051330,redphonecrypto,18.0
1297925400090337280,RektHQ,24.0
1138033434,Rewkang,24.0
361860294,riabhutoria,12.0
14285961,ricburton,24.0
43158225,richardcraib,12.0
995853529620217856,richatlarge,0.0
9897812,richerd,44.0
394480074,rleshner,44.0
568914153,roasbeef,24.0
14144398,robustus,12.0
188055923,roham,44.0
2545086098,RookieXBT,56.0
385328034,RuneKek,24.0
118917461,ryaneshea,18.0
14571055,RyanSAdams,24.0
708805895258574849,RyanWatkins_,24.0
2844400678,samczsun,44.0
3265756934,samkazemian,32.0
100798845,sandeepnailwal,44.0
737132550,santiagoroel,24.0
9321342,santisiri,44.0
313724502,sassal0x,30.0
47701302,saturnial,12.0
1110877798820777986,SBF_FTX,56.0
3226266525,scott_lew_is,24.0
1012777913299689477,scupytrooples,24.0
3428530816,sebaudet26,12.0
1393634673100738563,Shamburgularara,0.0
6068692,shan3v,0.0
2215937899,Shaughnessy119,24.0
710559633862172672,sicklebeam,0.0
519209521,sid_coelho,0.0
15254730,sillytuna,12.0
17287144,Sim_Pop,0.0
17881672,simondlr,18.0
1259298306397745152,SizeChad,18.0
14161568,smc90,12.0
199186811,smsunarto,0.0
2500902492,smykjain,0.0
910960008778571776,snarkyzk,0.0
1081694326034391041,sobylife,38.0
323144085,soona,32.0
4169623639,sowmay_jain,0.0
973563265811759104,SpartanBlack_1,24.0
37456482,spencecoin,0.0
1527806202,spencernoon,24.0
966968957658779648,SplitCapital,18.0
357317524,stablekwon,56.0
952921795316912133,StaniKulechov,50.0
2189541,starkness,30.0
3367874039,StefanDGeorge,0.0
5723512,stefanobernardi,18.0
2565412998,stephendpalley,12.0
421462364,Steven_McKie,12.0
738622088,strangechances,0.0
143608636,sunnya97,12.0
314777746,SuperRareJohn,12.0
53836928,tarunchitra,18.0
1078389030,TaschaLabs,44.0
14295211,TaylorGerring,18.0
19748227,tayvano_,44.0
630641976,tbr90,12.0
897760118338727937,teo_leibowitz,12.0
37839293,Tetranode,30.0
10190632,thattallguy,18.0
185157292,The3D_,0.0
56471907,the_ethernaut,0.0
56057274,thebitsian,0.0
887748030304329728,TheCryptoDog,56.0
2900819959,thegostep,12.0
263162731,thegrifft,0.0
722591951950913536,theklineventure,0.0
1368070907915235329,thepxlportraits,0.0
515149505,Tim_Roughgarden,12.0
80722677,TimBeiko,24.0
239090734,tomhschmidt,12.0
15457504,tony_intern,12.0
1291403070807711752,tracheopteryx,0.0
1233186758503780352,TraderDefi,0.0
1303125102196711424,transmissions11,18.0
905781705159606272,Travis_Kling,24.0
407205601,TRHX01,0.0
981208355115974656,TrustlessState,24.0
2193616844,twobitidiot,36.0
19756749,tzhen,0.0
2458844640,TZhongg,44.0
14527699,udiWertheimer,24.0
47730410,undefinedza,0.0
19582039,valentinmihov,0.0
29965756,ValidatorEth,0.0
54622027,valkenburgh,24.0
893875627916378112,vasa_develop,12.0
877728873340956672,VentureCoinist,56.0
60860700,veradittakit,12.0
29280740,vijaymichalik,0.0
923275581990588418,ViktorBunin,0.0
1854401,VinnyLingham,56.0
969407510,VirtualElena,12.0
295218901,VitalikButerin,56.0
139487079,VladZamfir,24.0
457204731,WarcMeinstein,0.0
884511390987407360,Web3foundation,24.0
958604960899321856,weijie_eth,0.0
341874816,wheatpond,18.0
715698893250555905,wilburforce_,0.0
760197501844619264,willmorriss4,0.0
702957747227095040,willwarren,12.0
17755042,wmougayar,18.0
13418472,woonomic,36.0
54317637,xanderatallah,38.0
1442926568561577984,xuannu_eth,0.0
169249503,yanivgraph,12.0
1034965526152441856,YanLiberman,12.0
71359595,yanroux,0.0
1274287728167915522,yieldfarm,0.0
163723465,ZacharyDash,0.0
3012852462,zachxbt,30.0
254747620,ZeMariaMacedo,12.0
1370479673818427403,Zeneca_33,36.0
79714172,zhusu,56.0
7910872,zmanian,12.0
14182218,zooko,24.0
145891989,zosegal,12.0
